,省份,出省人数,入省人数,Year
0,北京,5386440,283171,2010
1,天津,1580856,309953,2010
2,河北,899580,3403281,2010
3,山西,582252,1058729,2010
4,内蒙古,971388,967659,2010
5,辽宁,1253616,1536206,2010
6,吉林,258072,1480941,2010
7,黑龙江,274776,2329250,2010
8,上海,7905840,412104,2010
9,江苏,6477120,3119424,2010
10,浙江,11841240,1744393,2010
11,安徽,489396,7038535,2010
12,福建,3593292,1253945,2010
13,江西,289428,4207308,2010
14,山东,1419816,3831464,2010
15,河南,355452,6752795,2010
16,湖北,580188,4396868,2010
17,湖南,374880,5560289,2010
18,广东,21213204,803453,2010
19,广西,570948,3101469,2010
20,海南,371232,261737,2010
21,重庆,607020,2446087,2010
22,四川,749484,7145383,2010
23,贵州,558072,2912980,2010
24,云南,851064,1205120,2010
25,西藏,146412,45080,2010
26,陕西,591132,1694112,2010
27,甘肃,290412,1546041,2010
28,青海,232044,206822,2010
29,宁夏,272184,207802,2010
30,新疆,1285524,352436,2010
0,北京,6499261,372465,2011
1,天津,2246773,412076,2011
2,河北,3682387,4796609,2011
3,山西,2398609,1553248,2011
4,内蒙古,2600241,1413897,2011
5,辽宁,4431523,1826013,2011
6,吉林,1968662,2067015,2011
7,黑龙江,2163025,3566580,2011
8,上海,8405336,448159,2011
9,江苏,9296524,4673506,2011
10,浙江,11731011,2878862,2011
11,安徽,3266429,10922976,2011
12,福建,5251556,2292547,2011
13,江西,1849749,7113013,2011
14,山东,6539416,4898121,2011
15,河南,4505826,10614364,2011
16,湖北,3881341,7490395,2011
17,湖南,3218535,9438514,2011
18,广东,25385202,1434653,2011
19,广西,2675460,5551622,2011
20,海南,781388,432928,2011
21,重庆,2380469,3975606,2011
22,四川,4839374,10750402,2011
23,贵州,2068837,3954335,2011
24,云南,2383831,1650773,2011
25,西藏,132844,76776,2011
26,陕西,2306703,2551964,2011
27,甘肃,1313575,2040378,2011
28,青海,433901,287815,2011
29,宁夏,562846,288573,2011
30,新疆,2099293,574782,2011
0,北京,6599463,388595,2012
1,天津,2494848,474647,2012
2,河北,6060251,6153705,2012
3,山西,3986495,2020470,2012
4,内蒙古,3475508,1821625,2012
5,辽宁,7215496,2071290,2012
6,吉林,3555702,2633318,2012
7,黑龙江,3843271,4782524,2012
8,上海,5864334,342415,2012
9,江苏,10192569,6088592,2012
10,浙江,7569612,3693662,2012
11,安徽,5730712,14784077,2012
12,福建,6000918,3230375,2012
13,江西,3303891,9999940,2012
14,山东,10953762,5922567,2012
15,河南,8482598,14455940,2012
16,湖北,6882127,10557400,2012
17,湖南,5957388,13296743,2012
18,广东,27249421,1793157,2012
19,广西,4586418,7976968,2012
20,海南,1053374,582382,2012
21,重庆,3856304,5475988,2012
22,四川,8552530,14324568,2012
23,贵州,3246900,4965892,2012
24,云南,3465215,2055139,2012
25,西藏,139534,92256,2012
26,陕西,3845232,3387014,2012
27,甘肃,2168811,2515083,2012
28,青海,398343,350220,2012
29,宁夏,649461,348736,2012
30,新疆,1721563,737086,2012
0,北京,7610995,449180,2013
1,天津,2911604,501619,2013
2,河北,6464107,6177358,2013
3,山西,4213879,2035188,2013
4,内蒙古,4228008,1847556,2013
5,辽宁,7608344,2103240,2013
6,吉林,3678166,2640510,2013
7,黑龙江,4050187,4791331,2013
8,上海,8903746,471635,2013
9,江苏,12114841,6215008,2013
10,浙江,11619696,4000751,2013
11,安徽,6042376,14794837,2013
12,福建,6908734,3318570,2013
13,江西,3408983,10006138,2013
14,山东,11657930,5952198,2013
15,河南,8655114,14463353,2013
16,湖北,7181407,10571342,2013
17,湖南,6061104,13304160,2013
18,广东,29556113,2053273,2013
19,广西,4778886,7989196,2013
20,海南,1190458,591540,2013
21,重庆,4152832,5492545,2013
22,四川,8928178,14342842,2013
23,贵州,3578516,4983110,2013
24,云南,3915511,2083847,2013
25,西藏,118190,95892,2013
26,陕西,4021188,3397237,2013
27,甘肃,2335651,2522136,2013
28,青海,634671,356229,2013
29,宁夏,852421,356765,2013
30,新疆,2911975,784549,2013
0,北京,6910537,397059,2014
1,天津,2690043,420854,2014
2,河北,8156851,5749051,2014
3,山西,4823124,2036671,2014
4,内蒙古,4472676,1728022,2014
5,辽宁,7843499,2084464,2014
6,吉林,4023274,2417675,2014
7,黑龙江,4677322,4248903,2014
8,上海,8077585,432686,2014
9,江苏,12912548,5913980,2014
10,浙江,11939703,3919899,2014
11,安徽,7639829,12121936,2014
12,福建,7142831,2952783,2014
13,江西,4348218,8104159,2014
14,山东,13680921,5989853,2014
15,河南,11106411,12401223,2014
16,湖北,8125458,8719381,2014
17,湖南,7573251,10969826,2014
18,广东,28283394,2445882,2014
19,广西,5887502,6756533,2014
20,海南,1240395,554478,2014
21,重庆,4689829,4593363,2014
22,四川,11196565,12253055,2014
23,贵州,4609312,4412646,2014
24,云南,5060740,2301907,2014
25,西藏,125931,97456,2014
26,陕西,4724845,3084407,2014
27,甘肃,2904698,2314109,2014
28,青海,650820,352946,2014
29,宁夏,878900,369068,2014
30,新疆,3270812,915405,2014
0,北京,6527674,351588,2015
1,天津,2650099,324955,2015
2,河北,12410331,5700690,2015
3,山西,6615184,2305923,2015
4,内蒙古,5537432,1730691,2015
5,辽宁,9331515,2322102,2015
6,吉林,5216968,2317492,2015
7,黑龙江,6483744,3790950,2015
8,上海,7612462,416497,2015
9,江苏,16115304,6125101,2015
10,浙江,14122273,4281657,2015
11,安徽,11647547,8711906,2015
12,福建,8537193,2655414,2015
13,江西,6694945,5609415,2015
14,山东,19274462,6843956,2015
15,河南,17163670,10169365,2015
16,湖北,10975406,6398624,2015
17,湖南,11412808,8041888,2015
18,广东,29627332,3499753,2015
19,广西,8752230,5336521,2015
20,海南,1518250,557752,2015
21,重庆,6329406,3513648,2015
22,四川,16923732,9950113,2015
23,贵州,7161343,3923713,2015
24,云南,7885728,3010680,2015
25,西藏,179098,113130,2015
26,陕西,6680517,2903245,2015
27,甘肃,4370612,2228054,2015
28,青海,788380,392989,2015
29,宁夏,1065611,440353,2015
30,新疆,4391715,1279767,2015
0,北京,6603112,460265,2016
1,天津,2841864,438958,2016
2,河北,12309289,5752810,2016
3,山西,6687996,2358043,2016
4,内蒙古,5642577,1782811,2016
5,辽宁,9322837,2374222,2016
6,吉林,5331727,2110238,2016
7,黑龙江,6560499,3338119,2016
8,上海,7655356,484380,2016
9,江苏,15903113,5283245,2016
10,浙江,13969873,3747042,2016
11,安徽,11569388,8779789,2016
12,福建,8552345,2723297,2016
13,江西,6765364,5677298,2016
14,山东,18967496,6911839,2016
15,河南,16920028,10237248,2016
16,湖北,10917412,6463057,2016
17,湖南,11341692,8106321,2016
18,广东,29009780,3564186,2016
19,广西,8760931,5360904,2016
20,海南,1743970,582135,2016
21,重庆,6410792,3538031,2016
22,四川,16687288,9974496,2016
23,贵州,7217770,3948096,2016
24,云南,7920424,3078563,2016
25,西藏,444993,181013,2016
26,陕西,6751369,2971128,2016
27,甘肃,4510761,2192537,2016
28,青海,1035996,357472,2016
29,宁夏,1304910,404836,2016
30,新疆,4531231,1347650,2016
0,北京,7315623,442530,2017
1,天津,2752209,516753,2017
2,河北,3925593,5797413,2017
3,山西,3053286,1767420,2017
4,内蒙古,3430143,1725354,2017
5,辽宁,6377706,1846827,2017
6,吉林,2851803,2517858,2017
7,黑龙江,2893122,4706856,2017
8,上海,8564931,448875,2017
9,江苏,9732015,5702859,2017
10,浙江,9779355,3558141,2017
11,安徽,3654333,15531966,2017
12,福建,5770692,3250152,2017
13,江西,2023713,10598904,2017
14,山东,8109603,5135751,2017
15,河南,5071374,14633082,2017
16,湖北,5297733,11040138,2017
17,湖南,3755916,13897764,2017
18,广东,26961678,1392012,2017
19,广西,3044997,8176545,2017
20,海南,984762,551205,2017
21,重庆,3072474,5673078,2017
22,四川,5491620,14555997,2017
23,贵州,2079504,4901580,2017
24,云南,2257974,1593135,2017
25,西藏,94986,81783,2017
26,陕西,2791395,3265569,2017
27,甘肃,1461006,2400165,2017
28,青海,535482,312903,2017
29,宁夏,714411,297783,2017
30,新疆,2172132,551043,2017
0,北京,7781607,473507,2018
1,天津,4429063,554372,2018
2,河北,7194010,5922547,2018
3,山西,4707026,1822108,2018
4,内蒙古,4005782,1868723,2018
5,辽宁,11010592,2029113,2018
6,吉林,5098372,2824951,2018
7,黑龙江,7061258,5079855,2018
8,上海,8820421,483167,2018
9,江苏,15083233,5178792,2018
10,浙江,10193147,3553427,2018
11,安徽,6091293,14743904,2018
12,福建,6274192,3176966,2018
13,江西,3752145,9894146,2018
14,山东,14182492,4876488,2018
15,河南,9165746,12580054,2018
16,湖北,8964080,10991025,2018
17,湖南,6369221,13933852,2018
18,广东,26194191,1388203,2018
19,广西,4176388,8456756,2018
20,海南,1162144,660602,2018
21,重庆,4340805,5458550,2018
22,四川,7957830,14041455,2018
23,贵州,2768781,4971622,2018
24,云南,3162415,1712762,2018
25,西藏,136161,104305,2018
26,陕西,4418587,3149842,2018
27,甘肃,2629467,2175090,2018
28,青海,684016,325562,2018
29,宁夏,1029647,304406,2018
30,新疆,3035901,671723,2018
0,北京,7261667,570018,2019
1,天津,4679064,520887,2019
2,河北,19505053,4215719,2019
3,山西,9962809,1820250,2019
4,内蒙古,7771513,1851784,2019
5,辽宁,12941896,1513734,2019
6,吉林,7639860,1706603,2019
7,黑龙江,11409965,3148760,2019
8,上海,9387741,1091670,2019
9,江苏,25830604,4156576,2019
10,浙江,18685649,4346890,2019
11,安徽,15588658,8370499,2019
12,福建,11830198,2904467,2019
13,江西,12598251,6101789,2019
14,山东,26750588,3807106,2019
15,河南,21643216,7667060,2019
16,湖北,15584804,6253481,2019
17,湖南,17667073,8224022,2019
18,广东,34268851,2628417,2019
19,广西,11393163,5131566,2019
20,海南,2517097,516373,2019
21,重庆,8763997,3444508,2019
22,四川,19509278,8875146,2019
23,贵州,7175001,3144651,2019
24,云南,10237325,1828247,2019
25,西藏,435542,103490,2019
26,陕西,10112599,2594812,2019
27,甘肃,5249373,1535590,2019
28,青海,1465789,346462,2019
29,宁夏,1593899,306302,2019
30,新疆,5039880,727111,2019
